41,425,489,35,163,291,419,125,124,44,172,300,428,316,432,244,73,75,46,47,363,444,445,446,236,364,248,456,208,256,257
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01ec
	0000,	0000,	0fff,	0eae,	0eae,	0eae,	0eae,	0c03,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0ffe,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01f0
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01f4
	0000,	0000,	0fff,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01f8
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b77,	01c0
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b77,	01c4
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b77,	01c8
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b77,	01cc
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0000,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b77,	01d0
	0fff,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0c03,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0000,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b77,	01d4
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0c00,	0044,	0b77,	01d8
	0000,	0fff,	0fff,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b77,	01dc
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0000,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b77,	01e0
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b77,	01e4
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b77,	01e8
	0fff,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b77,	01ec
	0000,	0000,	0fff,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b77,	01f0
	0000,	0000,	0fff,	0eae,	0eae,	0eae,	0eae,	0c03,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0d6c,	0044,	0b77,	01f4
	0000,	0fff,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b77,	01f8
	0000,	0000,	0fff,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b81,	01c0
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b81,	01c4
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	041f,	0046,	0b81,	01c8
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0c00,	0046,	0b81,	01cc
	0fff,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0046,	0b81,	01d0
	0000,	0000,	0fff,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0046,	0b81,	01d4
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0c03,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0046,	0b81,	01d8
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0046,	0b81,	01dc
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0046,	0b81,	01e0
	0000,	0fff,	0fff,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0000,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0046,	0b81,	01e4
	0fff,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	001e,	0046,	0b81,	01e8
